problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;8;1622;145;266
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;9;1650;283;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.6;10;1677;81;281
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;1;3262;397;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;2;3322;388;641
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;3;3315;352;688
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;4;3238;393;688
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;5;3324;392;625
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;6;3337;206;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;7;3406;361;688
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;8;3289;391;2094
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;9;3308;399;625
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.6;10;3393;379;656
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;1;105260;368;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;2;102600;369;281
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;3;113990;385;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;4;115030;365;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;5;109350;334;203
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;6;105470;386;328
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;7;103980;398;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;8;106880;376;328
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;9;109790;397;172
qap;kra30b;30;fat_rls;400;ts=full,id=half,beta=1.6;10;106520;347;172
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;1;26086;395;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;2;26486;398;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;3;26402;385;266
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;4;26734;396;484
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;5;26270;398;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;6;26682;398;281
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;7;26090;394;484
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;8;26408;397;250
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;9;26426;373;234
qap;sko49;49;fat_rls;400;ts=full,id=half,beta=1.6;10;26188;400;234
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;1;11580;397;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;2;12198;376;813
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;3;11521;375;859
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;4;11345;355;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;5;11692;391;828
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;6;11639;382;766
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;7;11297;398;797
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;8;11696;374;703
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;9;11237;379;719
lop;N-p40-03;40;fat_rls;400;ts=full,id=half,beta=1.8;10;11544;388;797
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;1;8518;395;813
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;2;11750;396;1219
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;3;8083;396;1047
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;4;8053;383;953
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;5;12113;394;813
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;6;9732;398;875
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;7;8506;352;906
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;8;8729;385;891
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;9;10041;373;875
lop;N-t59f11xx;44;fat_rls;400;ts=full,id=half,beta=1.8;10;8472;387;891
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;1;1703;238;328
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;2;1659;166;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;3;1609;212;859
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;4;1619;330;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;5;1659;316;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;6;1675;206;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;7;1670;340;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;8;1619;252;297
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;9;1599;203;281
pfsp;rec07;20;fat_rls;400;ts=full,id=half,beta=1.8;10;1677;81;281
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;1;3300;384;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;2;3285;381;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;3;3352;322;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;4;3397;327;672
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;5;3282;371;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;6;3334;339;656
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;7;3306;397;641
pfsp;rec33;50;fat_rls;400;ts=full,id=half,beta=1.8;8;3363;296;2094
