problem;instance;n;algorithm;budget;parameters;run;fitness;nfev;time
lop;N-p50-02;;umm-er0;200;;9;21791;192;
lop;N-p50-02;;umm-er0;400;;9;20706;387;
lop;N-p50-02;;umm-er0;100;;10;24373;91;
lop;N-p50-02;;umm-er0;200;;10;21387;199;
lop;N-p50-02;;umm-er0;400;;10;22551;392;
qap;tho30;;umm-er0;100;;1;195844;99;
qap;kra30a;;umm-er0;100;;1;124540;24;
qap;tho30;;umm-er0;100;;2;190638;58;
qap;kra30a;;umm-er0;100;;2;125540;58;
qap;kra30a;;umm-er0;100;;3;120140;79;
qap;tai35a;;umm-er0;100;;1;2847720;26;
qap;tai35a;;umm-er0;100;;2;2822290;17;
qap;tai35a;;umm-er0;100;;3;2831256;5;
qap;sko42;;umm-er0;100;;1;18914;70;
qap;sko42;;umm-er0;100;;2;18952;70;
qap;kra30a;;umm-er0;100;;4;120440;55;
qap;tho30;;umm-er0;100;;3;199194;19;
qap;tho30;;umm-er0;100;;4;200222;62;
qap;tai35a;;umm-er0;100;;4;2819932;48;
qap;kra30a;;umm-er0;100;;5;122030;53;
qap;tai35a;;umm-er0;100;;5;2854780;49;
qap;tho30;;umm-er0;100;;5;188338;100;
qap;sko42;;umm-er0;100;;3;19070;99;
qap;kra30a;;umm-er0;100;;6;120160;97;
qap;tho30;;umm-er0;100;;6;197684;7;
qap;sko42;;umm-er0;100;;4;18930;97;
qap;tai35a;;umm-er0;100;;6;2860560;70;
qap;kra30a;;umm-er0;100;;7;111740;71;
qap;tho30;;umm-er0;100;;7;198512;86;
qap;sko42;;umm-er0;100;;5;18948;90;
qap;kra30a;;umm-er0;100;;8;120090;79;
qap;tai35a;;umm-er0;100;;7;2830958;40;
qap;tho30;;umm-er0;100;;8;193946;84;
qap;sko42;;umm-er0;100;;6;19216;99;
qap;kra30a;;umm-er0;100;;9;118200;94;
qap;tai35a;;umm-er0;100;;8;2804450;67;
qap;tho30;;umm-er0;100;;9;195510;29;
qap;sko42;;umm-er0;100;;7;19030;87;
qap;kra30a;;umm-er0;100;;10;116680;62;
qap;tai35a;;umm-er0;100;;9;2876766;62;
qap;tho30;;umm-er0;100;;10;189526;98;
qap;sko42;;umm-er0;100;;8;18702;91;
qap;tai35a;;umm-er0;100;;10;2826792;37;
qap;sko42;;umm-er0;100;;9;19278;32;
qap;sko42;;umm-er0;100;;10;19128;97;
qap;tho30;;umm-er0;200;;1;192410;196;
